Country,Domain,Sub-Domain,Population
Afghanistan,,,40099460
Africa (UN),,,1393676400
Albania,,,2854710
Algeria,,,44177964
American Samoa,,,45056
Andorra,,,79057
Angola,,,34503776
Anguilla,,,15779
Antigua and Barbuda,,,93229
Argentina,,,45276788
Armenia,,,2790971
Aruba,,,106543
Asia (UN),,,4694576000
Australia,,,25921094
Austria,,,8922086
Azerbaijan,,,10312992
Bahamas,,,407920
Bahrain,,,1463266
Bangladesh,,,169356240
Barbados,,,281204
Belarus,,,9578172
Belgium,,,11611416
Belize,,,400037
Benin,,,12996901
Bermuda,,,64213
Bhutan,,,777500
Bolivia,,,12079474
Bonaire Sint Eustatius and Saba,,,26730
Bosnia and Herzegovina,,,3270948
Botswana,,,2588424
Brazil,,,214326220
British Virgin Islands,,,31145
Brunei,,,445382
Bulgaria,,,6885864
Burkina Faso,,,22100690
Burundi,,,12551215
Cambodia,,,16589031
Cameroon,,,27198632
Canada,,,38155012
Cape Verde,,,587936
Cayman Islands,,,68157
Central African Republic,,,5457165
Chad,,,17179744
Chile,,,19493184
China,,,1425893500
Colombia,,,51516560
Comoros,,,821632
Congo,,,5835814
Cook Islands,,,17028
Costa Rica,,,5153959
Cote d'Ivoire,,,27478250
Croatia,,,4060139
Cuba,,,11256373
Curacao,,,190348
Cyprus,,,1244193
Czechia,,,10510748
Democratic Republic of Congo,,,95894120
Denmark,,,5854246
Djibouti,,,1105562
Dominica,,,72435
Dominican Republic,,,11117873
East Timor,,,1320944
Ecuador,,,17797736
Egypt,,,109262184
El Salvador,,,6314165
Equatorial Guinea,,,1634473
Eritrea,,,3620324
Estonia,,,1328704
Eswatini,,,1192273
Ethiopia,,,120283020
Europe (UN),,,745173760
Falkland Islands,,,3786
Faroe Islands,,,52915
Fiji,,,924615
Finland,,,5535982
France,,,64531450
French Guiana,,,297462
French Polynesia,,,304038
Gabon,,,2341185
Gambia,,,2639922
Georgia,,,3757984
Germany,,,83408560
Ghana,,,32833036
Gibraltar,,,32698
Greece,,,10445368
Greenland,,,56266
Grenada,,,124624
Guadeloupe,,,396057
Guam,,,170546
Guatemala,,,17608484
Guernsey,,,63092
Guinea,,,13531909
Guinea-Bissau,,,2060730
Guyana,,,804571
Haiti,,,11447575
High-income countries,,,1245565600
Honduras,,,10278346
Hong Kong,,,7494580
Hungary,,,9709784
Iceland,,,370338
India,,,1407563900
Indonesia,,,273753180
Iran,,,87923430
Iraq,,,43533590
Ireland,,,4986525
Isle of Man,,,84286
Israel,,,8900057
Italy,,,59240336
Jamaica,,,2827701
Japan,,,124612530
Jersey,,,109634
Jordan,,,11148288
Kazakhstan,,,19196468
Kenya,,,53005616
Kiribati,,,128883
Kosovo,,,1662022
Kuwait,,,4250111
Kyrgyzstan,,,6527742
Land-locked developing countries (LLDC),,,550846400
Laos,,,7425055
Latin America and the Caribbean (UN),,,656098100
Latvia,,,1873926
Least developed countries,,,1099568600
Lebanon,,,5592626
Lesotho,,,2281464
Less developed regions,,,6633179000
"Less developed regions, excluding China",,,5175244300
"Less developed regions, excluding least developed countries",,,5533610500
Liberia,,,5193422
Libya,,,6735280
Liechtenstein,,,39058
Lithuania,,,2786652
Low-income countries,,,718255100
Lower-middle-income countries,,,3396756500
Luxembourg,,,639330
Macao,,,686616
Madagascar,,,28915652
Malawi,,,19889742
Malaysia,,,33573870
Maldives,,,521469
Mali,,,21904990
Malta,,,526751
Marshall Islands,,,42074
Martinique,,,368799
Mauritania,,,4614981
Mauritius,,,1298922
Mayotte,,,316022
Mexico,,,126705140
Micronesia (country),,,113143
Moldova,,,3061509
Monaco,,,36713
Mongolia,,,3347782
Montenegro,,,627856
Montserrat,,,4438
More developed regions,,,1276116100
Morocco,,,37076588
Mozambique,,,32077074
Myanmar,,,53798090
Namibia,,,2530150
Nauru,,,12533
Nepal,,,30034988
Netherlands,,,17501696
New Caledonia,,,287809
New Zealand,,,5129730
Nicaragua,,,6850546
Niger,,,25252722
Nigeria,,,213401330
Niue,,,1957
North Korea,,,25971910
North Macedonia,,,2103329
Northern America (UN),,,375278940
Northern Mariana Islands,,,49503
Norway,,,5403021
Oceania (UN),,,44491724
Oman,,,4520474
Pakistan,,,231402110
Palau,,,18050
Palestine,,,5133393
Panama,,,4351264
Papua New Guinea,,,9949438
Paraguay,,,6703802
Peru,,,33715464
Philippines,,,113880340
Poland,,,38307724
Portugal,,,10290109
Puerto Rico,,,3256030
Qatar,,,2688239
Reunion,,,966132
Romania,,,19328558
Russia,,,145102750
Rwanda,,,13461891
